"GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ftype","length_bp","gene","EC_number","COG","product"
"PHJJKLOP_00035",14175.5994432833,4.30818415913793,0.0705655514655035,61.0522283134714,0,0,"CDS",1545,"pbuO","","COG2252","Guanine/hypoxanthine permease PbuO"
"PHJJKLOP_00044",781.722407750587,1.22967196075043,0.0894657942843575,13.7446045227302,5.48720726844464e-43,1.89707835585719e-42,"CDS",648,"","","","hypothetical protein"
"PHJJKLOP_00074",22400.7723581867,4.36222223682918,0.0753582458348727,57.886462038777,0,0,"CDS",321,"","","","hypothetical protein"
"PHJJKLOP_00085",2263.24205320351,2.3005823473503,0.0740077844277952,31.0856805826262,3.76105779841014e-212,4.3815591628171e-211,"CDS",471,"crtK-2","","COG3476","Tryptophan-rich protein TspO"
"PHJJKLOP_00087",13344.8226507325,1.02503703152139,0.0685125275619755,14.9613080701796,1.31417313437072e-50,4.99319081764714e-50,"CDS",201,"cspD","","COG1278","Cold shock protein CspD"
"PHJJKLOP_00090",413.221459766894,1.089208567973,0.105623635525804,10.3121669932191,6.20853643965882e-25,1.64353298853568e-24,"CDS",900,"czcD","","COG1230","Cadmium, cobalt and zinc/H(+)-K(+) antiporter"
"PHJJKLOP_00136",675.126238235932,1.75717875444515,0.0911453302485803,19.278867602463,8.08266086366246e-83,4.32906737492046e-82,"CDS",570,"","","","hypothetical protein"
"PHJJKLOP_00137",6358.61043367006,1.13465916643028,0.0561613991832433,20.2035416305801,9.11217953242651e-91,5.10896358054026e-90,"CDS",1233,"pepS","3.4.11.-","COG2309","Aminopeptidase PepS"
"PHJJKLOP_00146",18.3244853407014,2.57429543514713,0.502824341692821,5.11967146713789,3.06068377261073e-07,5.29386898624871e-07,"CDS",1026,"","","","hypothetical protein"
"PHJJKLOP_00150",47.8277206802427,2.39951249741112,0.305786720451024,7.84701341468307,4.26061693310856e-15,9.27055748381325e-15,"CDS",447,"","","","hypothetical protein"
"PHJJKLOP_00154",239.012318787236,4.59697056150462,0.217972099017956,21.0897201165454,9.88446182273332e-99,5.97860175702294e-98,"CDS",2832,"","","","hypothetical protein"
"PHJJKLOP_00155",202.512530079042,3.63061924961906,0.190825820293666,19.0258280773106,1.04227716557176e-80,5.43654674864436e-80,"CDS",789,"","","","hypothetical protein"
"PHJJKLOP_00156",945.763198031287,4.54838157388025,0.117800236045513,38.6109716462957,0,0,"CDS",3120,"","","","hypothetical protein"
"PHJJKLOP_00157",14.3446420021572,4.89665293153361,0.927851767302193,5.27740863798863,1.31023491177968e-07,2.29674667790888e-07,"CDS",288,"","","","hypothetical protein"
"PHJJKLOP_00158",141.474893200984,6.10462717486692,0.424906692054119,14.3669828906564,8.33854890698224e-47,3.02247160139284e-46,"CDS",369,"","","","hypothetical protein"
"PHJJKLOP_00159",195.799888303239,6.02682119266125,0.352807566039565,17.0824601646592,2.00484515787974e-65,8.98578802798196e-65,"CDS",513,"","","","hypothetical protein"
"PHJJKLOP_00160",123.182124343018,5.69319767699448,0.401286388080828,14.187368039625,1.09699208846178e-45,3.92400754223963e-45,"CDS",393,"","","","hypothetical protein"
"PHJJKLOP_00161",183.926764452738,6.01354184643667,0.362013939229541,16.6113544114767,5.76761416814525e-62,2.4990212473845e-61,"CDS",372,"","","","hypothetical protein"
"PHJJKLOP_00162",118.416968353589,6.09061720084156,0.461203535244734,13.2059204568101,8.11022378572023e-40,2.65667505628516e-39,"CDS",327,"","","","hypothetical protein"
"PHJJKLOP_00163",147.220417244186,5.77312584068428,0.377457125472853,15.2947856884463,8.2833042876224e-53,3.2588979023839e-52,"CDS",339,"","","","hypothetical protein"
"PHJJKLOP_00164",49.5921177843434,4.94966958128935,0.511378700229532,9.67906871965471,3.70071525206756e-22,9.32655005445308e-22,"CDS",207,"","","","hypothetical protein"
"PHJJKLOP_00165",483.153707450512,5.90303119400532,0.220030138682924,26.8282846583664,1.51192427152759e-158,1.30452486136992e-157,"CDS",1008,"","","","hypothetical protein"
"PHJJKLOP_00166",129.483471570077,6.51420900708308,0.503186117196025,12.9459235548531,2.47765531524538e-38,7.94229123537973e-38,"CDS",354,"","","","hypothetical protein"
"PHJJKLOP_00167",381.621991758718,3.70085053621421,0.14667572844547,25.2315129124454,1.80731327399586e-140,1.43150686305386e-139,"CDS",642,"","","","hypothetical protein"
"PHJJKLOP_00168",125.43240960858,3.88755104685183,0.249381423981282,15.5887755582935,8.67809782219641e-55,3.47820948857511e-54,"CDS",174,"","","","hypothetical protein"
"PHJJKLOP_00169",477.691508762231,4.75060365227037,0.164483787071655,28.881896123907,2.01558325216563e-183,1.97857582196193e-182,"CDS",954,"","","","hypothetical protein"
"PHJJKLOP_00170",23.7101909953049,4.17328360959204,0.600110618641723,6.95419057746013,3.54591992550013e-12,7.18300693974789e-12,"CDS",264,"","","","hypothetical protein"
"PHJJKLOP_00171",44.3150498874932,4.9367408809383,0.534815288411681,9.23074001044297,2.68768560469479e-20,6.53159959452613e-20,"CDS",231,"","","","hypothetical protein"
"PHJJKLOP_00172",533.346318347042,4.38901196565815,0.147480252429246,29.7599976496093,1.28749126584122e-194,1.3816304121608e-193,"CDS",1635,"","","","hypothetical protein"
"PHJJKLOP_00173",243.387674527744,4.39362226861342,0.205032007850575,21.4289579206357,7.17684736279599e-102,4.46725176802727e-101,"CDS",1302,"","","","hypothetical protein"
"PHJJKLOP_00174",126.902291140396,4.03130306677043,0.25469213533865,15.8281411454273,1.99014178589151e-56,8.15114159638737e-56,"CDS",456,"","","","hypothetical protein"
"PHJJKLOP_00175",57.3292269638988,4.8938124752172,0.469294257450883,10.4280254819214,1.84686162071613e-25,4.93705686823579e-25,"CDS",225,"","","","hypothetical protein"
